Trigger / Scenario,Response / Action
Asking for rates or a potential to collab,"Hi,

Thank you so much for reaching out about a potential partnership with Michaela!! I’m happy to share her media kit HERE and rates below:
• 1 TikTok: $6,000
 • 1 IG Reel: $3,500

Michaela’s pricing reflects her high-quality, conversion-focused content and consistent performance for brands!

Please let us know if you have any questions moving forward. We’d love to explore working together!"
"Initially offered a rate below her minimum ($3,500)","Hi,

Thank you so much for reaching out about a potential partnership with Michaela!! However her rates are higher than your offer. I’m happy to share her media kit HERE and rates below for visibility:
• 1 TikTok: $6,000
 • 1 IG Reel: $3,500

Michaela’s pricing reflects her high-quality, conversion-focused content and consistent performance for brands!

Please let us know if you have the budget to move forward. We’d love to explore working together!"
"Initially offered a rate that is CLOSE to or at her minimum ($2,500-3,500)","Hi,

Thank you so much for reaching out about a potential partnership with Michaela!! However her rates are a tad higher than your offer. I’m happy to share her media kit HERE and rates below for visibility:
• 1 TikTok: $6,000
 • 1 IG Reel: $3,500

Michaela’s pricing reflects her high-quality, conversion-focused content and consistent performance for brands!

Please let us know if you can expand your budget. We’d love to explore working together!"
Asking for bundle rates,"Thank you so much for reaching out about a potential partnership with Michaela!! Her standard rate is $6,000 per video! Below is her bundle pricing:

3 videos (90%) → $16,200
5 videos (85%) → $25,500
10 videos (75%) → $45,000

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
"Initially offered a rate that is OVER $5,000",Thank you so much for reaching out about a potential partnership with Michaela!!I think this collab could be a really good fit. Looping her in management team who can move forward with this convo!!
"Initially offered a rate below $1,000",Move it to revisit
Commission Only offer,"If product is GOOD (make up / fashion focused) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Michaela would LOVE to get some PR! Her address is:
8 Beith Lane, Bella Vista, AR, 72715

Let me know when it's sent & the tracking number is avaialble so I can pass her way :)"
"convos marked A Inital Response:
if the brand offers above $4,000",CC Cara
"convos marked A Inital Response:
if the brand offers at/below $4,000",CC Chenni
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (offers something close)",CC Cara
IF deal was good and sent to Cara or Chenni,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
