Trigger / Scenario,Response / Action
BRITT,Manager: Chenni
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Britt!! I’m happy to share her rates below:
• 1 TikTok: $1,250
 • 1 UGC Video: $1,000 (usage to be negotiated)

Britt's pricing reflects her extremely high conversion rate from content that truly sells. Her last month GMV was $669k & she was TikTok’s 2025 Home Creator of the Year!!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($900),"Thank you for reaching out to Britt to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok: $1,250
 • 1 UGC Video: $1,000 (usage to be negotiated)

Britt's pricing reflects her extremely high conversion rate from content that truly sells. Her last month GMV was $669k & she was TikTok’s 2025 Home Creator of the Year!!

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $1,250
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Britt. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Britt's standard rate is $1,250 per video! Below is her bundle pricing:

3 videos (90%) → $3,350
5 videos (85%) → $5,300
10 videos (75%) → $9,350

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (home products) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Britt would LOVE to get some PR. Her address is:
33500 Willo Rd Avon, OH 44011

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers at/above $900",CC Chenni
Comes back with a rate under $900,Move it to revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $700 per video)",CC Chenni
IF deal was good and sent to Chenni,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to Revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
