Trigger / Scenario,Response / Action
SYLVIA,Manager: Cara
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Sylvia!! I’m happy to share her media kit HERE + rates below:
• 1 TikTok (beauty): $2,000
• 1 TikTok (fashion): $1,000
 • 1 IG Reel: $850
 • 1 UGC Video: $1,500 (usage to be negotiated)

Sylvia's pricing reflects her high quality content that performs super well organically + with spark ads/boosting!! Consistently her TikTok beauty account drives 300k GMV monthly & her fashion tiktok account has a cult following of over 690k followers! 

Please let us know what account you'd like her to post on in your offer + if you have any questions moving forward. We’d love to explore working together!"
"Initially offered a rate below her minimum ($1,000)","Thank you for reaching out to Sylvia to collab!! However her rates are higher than your offer. I’m happy to share her media kit HERE + rates below:
• 1 TikTok (beauty): $2,000
• 1 TikTok (fashion): $1,000
 • 1 IG Reel: $850
 • 1 UGC Video: $1,500 (usage to be negotiated)

Sylvia's pricing reflects her high quality content that performs super well organically + with spark ads/boosting!! Consistently her TikTok beauty account drives 300k GMV monthly & her fashion tiktok account has a cult following of over 690k followers! 

Please let us know what account you'd like her to post on in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $1,500
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Sylvia. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Sylvia's standard rate is $2,000 per video! HERE is her media kit. Below is her bundle pricing:

3 videos (90%) → $5,400
5 videos (85%) → $8,500
10 videos (75%) → $15,000

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (beauty or fashion focused) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Sylvia would LOVE to get some PR. Her address is:
5883 E Thomas Rd Scottsdale, AZ  85251

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers above $1,000",CC Cara
"Comes back with a rate under $1,000",Move it to revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $700 per video)",CC Cara
IF deal was good and sent to Cara,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to Revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
