Trigger / Scenario,Response / Action
ANASTASIYA,Manager: Cara
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Anastasiya!! I’m happy to share her rates below:
• 1 TikTok (Main): $800
• 1 TikTok (Backup): $800
• 1 IG Reels: $750
 • 1 UGC Video: $1,000 (usage to be negotiated)

Anastasiya's pricing reflects her high-quality, polished content with a bestie beauty vibe that feels authentic, relatable, and brand-elevating!! Plus she's a UGC expert so she knows how to make videos that convert!!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($600),"Thank you for reaching out to Anastasiya to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok (Main): $800
• 1 TikTok (Backup): $800
• 1 IG Reels: $750
 • 1 UGC Video: $1,000 (usage to be negotiated)

Anastasiya's pricing reflects her high-quality, polished content with a bestie beauty vibe that feels authentic, relatable, and brand-elevating!! Plus she's a UGC expert so she knows how to make videos that convert!!

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $800
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Anastasiya. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Anastasiya's standard rate is $800 per video! Below is her bundle pricing:

3 videos (90%) → $2,150
5 videos (85%) → $3,400
10 videos (75%) → $6,000

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (fashion or beauty) - move to Commission Only

If tragic or spammy - Delete :)"
UGC offer / rate request,"Anastasiya's UGC rate is around $1,000 per video! HERE is her media kit for review. 

If you have this budget I can loop in her team to go through the rest of the details :)"
"PR Request
from notable brand","Hi,

Anastasiya would LOVE to get some PR!! Her address is:
3193 W Grandview St, Springfield, MO 65803

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers above $500
OR
if the brand agrees to bundle pricing (at least $500 per video)",CC Cara
Comes back with a rate under $500,Move it to revisit
IF deal was good and sent to Nicole,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Public Speaking
TikTok / Brand / Event invites
Special legit inquires",Ask for consult in the Select chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Nicole still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
