Trigger / Scenario,Response / Action
ALLEE,Manager: Chenni
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Allee!! I’m happy to share her rates below:
• 1 TikTok (Main): $850
• 1 TikTok (2nd account): $700
• 1 TikTok (3rd account): $500
 • 1 UGC Video: $800 (usage to be negotiated)

Allee's pricing reflects her extremely high conversion rate from content that truly sells. Her last month GMV was $490k+ & that was just her main account. She is a TikTok Shop Star and has a great pulse on what her viewers are wanting to buy!!

Please let us know what account you'd like her to post on in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($650),"Thank you for reaching out to Allee to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok (Main): $850
• 1 TikTok (2nd account): $700
• 1 TikTok (3rd account): $500
 • 1 UGC Video: $800 (usage to be negotiated)

Allee's pricing reflects her extremely high conversion rate from content that truly sells. Her last month GMV was $490k+ & that was just her main account. She is a TikTok Shop Star and has a great pulse on what her viewers are wanting to buy!!

Please let us know what account you'd like her to post on in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $800
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Allee. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Allee's standard rate is $850 per video! Below is her bundle pricing:

3 videos (90%) → $2,300
5 videos (85%) → $3,600
10 videos (75%) → $6,300

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. She also has mutliple, high GMV driving accounts so she can post across her accounts! Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Allee would LOVE to get some PR. Her address is:
37141 Bush Sunflower Ct Murrieta 92562 CA

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers at/above $650",CC Chenni
Comes back with a rate under $650,Move it to Revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $500 per video)",CC Chenni
IF deal was good and sent to Chenni,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to Revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
