Trigger / Scenario,Response / Action
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Katrina!! I’m happy to share her rates below:
• Dedicated TikTok Shop Livestream: $300 / hour
• Integrated TikTok Shop Livestream: $200 / hour
• 1 TikTok Shop Post: $600
• 1 IG Reel: $500
 • 1 UGC Video: $700 (usage to be negotiated)

Katrina's pricing reflects her proven success with livestreaming (consistent $300k+ monthly GMV)!! She dominates the fashion category & we'd love to find a way to work together with your brand!!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward."
"Initially offered a rate below her minimum 
($150 per hour)","Thank you for reaching out to Katrina to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• Dedicated TikTok Shop Livestream: $300 / hour
• Integrated TikTok Shop Livestream: $200 / hour
• 1 TikTok Shop Post: $600
• 1 IG Reel: $500
 • 1 UGC Video: $700 (usage to be negotiated)

Katrina's pricing reflects her proven success with livestreaming (consistent $300k+ monthly GMV)!! She dominates the fashion category & we'd love to find a way to work together with your brand!!

Please let us know what type of collab you're looking for in your offer + if you can expand your budget."
"Initally offered a rate that is OVER $250
per hour

*you might have to do math ($$ / hour ask)","Hi,

Thank you for the offer! I think this collab could be a good fit for Katrina. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Katrina's standard rate for livestreams is $300 per hour! Below is her bundle hour pricing:

4 hours ($275 / hour) → $1,100
6 hours ($250 / hour) → $1,500
8 hours ($225 / hour) → $1,800

We’ve found bundles usually perform better since the products being featured in multiple of her lives, making it feel like a product she TRULY loves. These hours can be used throughout the month / over a period of time. We can discuss more with her direct management if you're interested!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (fashion) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Katrina would LOVE to get some PR!! Her address is:
38 River Rock Court, Azusa, CA 91702

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers above $150 per hour
(including bundles)",CC Cara
Comes back with a rate under $150 per hour,Move it to revisit
IF deal was good and sent to Cara,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Public Speaking
TikTok / Brand / Event invites
Special legit inquires",Ask for consult in the Talent Managers chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
