Trigger / Scenario,Response / Action
LIZZ,Manager: Chenni
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Lizz!! I’m happy to share her rates below:
• 1 TikTok: $750
 • 1 UGC Video: $900 (usage to be negotiated)

Lizz's pricing reflects her extremely high conversion rate from content that truly sells. Her monthly GMV is $550k+ and she is an expert at directing her loyal followers/buyers to the right fashion products. Lizz's engagement rate is also super high for a shop creator which is ideal for brand collabs.

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($600),"Thank you for reaching out to Lizz to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok: $750
 • 1 UGC Video: $900 (usage to be negotiated)

Lizz's pricing reflects her extremely high conversion rate from content that truly sells. Her monthly GMV is $550k+ and she is an expert at directing her loyal followers/buyers to the right fashion products. Lizz's engagement rate is also super high for a shop creator which is ideal for brand collabs.

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $700
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Lizz. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Lizz's standard rate is $750 per video! Below is her bundle pricing:

3 videos (90%) → $2,000
5 videos (85%) → $3,100
10 videos (75%) → $5,600

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (fashion) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Lizz would LOVE to get some PR. Her address is:
4256 S Valentina Bay Millcreek UT, 84107

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers at/above $600",CC Chenni
Comes back with a rate under $600,Move it to Revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $500 per video)",CC Chenni
IF deal was good and sent to Cara,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
