Trigger / Scenario,Response / Action
TRINITY,Manager: Chenni
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Trinity!! I’m happy to share her media kit HERE + rates below:
• 1 TikTok: $4,000
 • 1 IG Reel: $2,000
 •  Podcast Feature: $1,500
 • 1 UGC Video: $1,500 (usage to be negotiated)

Trinity's pricing reflects her 3.3M followers + high engagement rate. She has a cult following always asking her for suggestions, recommendations, and advice via TikTok, her Podcast, Snapchat, and IG!!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
"Initially offered a rate below her minimum ($2,000)","Thank you for reaching out to Trinity to collab!! However her rates are higher than your offer. I’m happy to share her media kit HERE + rates below:
• 1 TikTok: $4,000
 • 1 IG Reel: $2,000
 •  Podcast Feature: $1,500
 • 1 UGC Video: $1,500 (usage to be negotiated)

Trinity's pricing reflects her 3.3M followers + high engagement rate. She has a cult following always asking her for suggestions, recommendations, and advice via TikTok, her Podcast, Snapchat, and IG!!

Please let us know what type of collab you're looking for in your offer + if you have any room to expand your budget. We’d love to explore working together!"
"Initially offered a rate that is OVER $3,000
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Trinity. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Trinity's standard rate is $4,000 per video! HERE is her media kit. Below is her bundle pricing:

3 videos (85%) → $10,000
5 videos (80%) → $16,000
10 videos (70%) → $28,000

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,Delete :)
Fan Mail / Advice Wanted,Move to Fan Mail
"PR Request
from notable brand","Hi,

Trinity would LOVE to get some PR. Her address is:
7579 Goldenfruit Cir, Riverside, CA 92507

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers at/above $2,000",CC Chenni
"Comes back with a rate under $2,000",Move it to revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $1,500 per video)",CC Chenni
IF deal was good and sent to Chenni,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to Revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
