Trigger / Scenario,Response / Action
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with [TALENT_NAME]!! I'm happy to share her rates below:
[RATE_BLOCK]

[TALENT_DESCRIPTION]

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We'd love to explore working together!"
Initially offered a rate below her minimum,"Thank you for reaching out to [TALENT_NAME] to collab!! However her rates are higher than your offer. I'm happy to share her rates below:
[RATE_BLOCK]

[TALENT_DESCRIPTION]

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We'd love to explore working together!"
Initially offered a rate OVER the good-deal threshold for one post,"Hi,

Thank you for the offer! I think this collab could be a good fit for [TALENT_NAME]. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"[TALENT_NAME]'s standard rate is [STANDARD_RATE] per video! Below is her bundle pricing:

3 videos (90%) → [BUNDLE_3]
5 videos (85%) → [BUNDLE_5]
10 videos (75%) → [BUNDLE_10]

We've found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses (after initial rate reply sent),Move to A Initial Response
Commission Only offer — product is relevant to talent's category,Move to Commission Only
Commission Only offer — product is spammy or off-category,Delete
PR Request from notable brand,"Hi,

[TALENT_NAME] would LOVE to get some PR. Her address is:
[SHIPPING_ADDRESS]

Let me know when it's sent & the tracking number is available so I can pass her way"
convos marked A Initial Response: brand offers above manager threshold,CC [SENIOR_MANAGER]
convos marked A Initial Response: brand offers at/below manager threshold,CC [JUNIOR_MANAGER]
Brand comes back with a very low rate (below floor),Move to Revisit
convos marked A Initial Response: BUNDLE CONVO — brand agrees to pricing,CC [MANAGER]
IF deal was good and sent to manager,Move to Ongoing TBC
convos marked A Initial Response: brand cannot budge on budget,Move to Revisit
Panel / TikTok Invites / Brand or event invites / Special legit inquiries,Ask for consult in the talent chat!!
Tagged emails in inbox (collab ongoing or replies coming in),"When you see an email marked with a previous tag:
1. Make sure manager is still CC'd (brands sometimes don't reply all)
2. Move to whatever folder it was already labeled as"
