Trigger / Scenario,Response / Action
KYLIKA,Manager: Nicole
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Kylika!! I’m happy to share her rates below:
• 1 TikTok: $750
• 1 IG Reels: $500
 • 1 UGC Video: $600 (usage to be negotiated)

Kylika's pricing reflects her high quality content + the access you'll get to the community of buyers she's built from her fashion & beauty recommendations on TikTok Shop!!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($400),"Thank you for reaching out to Kylika to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok: $750
• 1 IG Reels: $500
 • 1 UGC Video: $600 (usage to be negotiated)

Kylika's pricing reflects her high quality content + the access you'll get to the community of buyers she's built from her fashion & beauty recommendations on TikTok Shop!!

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $750
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Kylika. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Kylika's standard rate is $750 per video! Below is her bundle pricing:

3 videos (90%) → $2,000
5 videos (85%) → $3,100
10 videos (75%) → $5,600

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (fashion, wellness, beauty) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Kylika would LOVE to get some PR!! Her address is:
1430 Werthman Dr. Waukee, IA 50263

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers above $400
(including bundles)",CC Nicole
Comes back with a rate under $400,Move it to revisit
IF deal was good and sent to Nicole,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Public Speaking
TikTok / Brand / Event invites
Special legit inquires",Ask for consult in the Select chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Nicole still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
