Trigger / Scenario,Response / Action
GRAYSON,Manager: Nicole
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Grayson!! I’m happy to share her rates below:
• 1 TikTok: $750
 • 1 UGC Video: $400 (usage to be negotiated)

Grayson's pricing reflects her high quality fashion content & the effort she puts in to drive conversions (consistent $60k+ monthly GMV)!!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($300),"Thank you for reaching out to Grayson to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok: $750
 • 1 UGC Video: $400 (usage to be negotiated)

Grayson's pricing reflects her high quality fashion content & the effort she puts in to drive conversions (consistent $60k+ monthly GMV)!!

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $450
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Grayson. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Grayson's standard rate is $500 per video! Below is her bundle pricing:

3 videos (90%) → $2,000
5 videos (85%) → $3,150
10 videos (75%) → $5,600

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (fashion) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Grayson would LOVE to get some PR!! Her address is:
441 Race St Charleston, SC 29403

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers above $300
(including bundles)",CC Nicole
Comes back with a rate under $300,Move it to revisit
IF deal was good and sent to Nicole,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Public Speaking
TikTok / Brand / Event invites
Special legit inquires",Ask for consult in the Select chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Nicole still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
