Trigger / Scenario,Response / Action
COLLEEN,Manager: Cara
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Colleen!! I’m happy to share her rates below:
• 1 TikTok: $1,000
• 1 IG Reels: $500
 • 1 UGC Video: $1,000 (usage to be negotiated)

Colleen's pricing reflects her creating high-quality, polished content with a bestie beauty vibe that feels authentic, relatable, and brand-elevating!! Plus she's a TikTok Shop Star so she's also known for driving conversions in her collabs.

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($800),"Thank you for reaching out to Colleen to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok: $1,000
• 1 IG Reels: $500
 • 1 UGC Video: $1,000 (usage to be negotiated)

Colleen's pricing reflects her creating high-quality, polished content with a bestie beauty vibe that feels authentic, relatable, and brand-elevating!! Plus she's a TikTok Shop Star so she's also known for driving conversions in her collabs.

Please let us know what type of collab you're looking for in your offer + if you can expand your budget. We’d love to explore working together!"
"Initially offered a rate that is OVER $1,000
for one post",Thank you for the offer! I think this collab could be a good fit for Colleen. Looping her in management team who can move forward with this convo!
Asking for bundle rates,"Colleen's standard rate is $1,000 per video! Below is her bundle pricing:

3 videos (90%) → $2,700
5 videos (85%) → $4,250
10 videos (75%) → $7,500

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD (make up focused) - move to Commission Only

If tragic or spammy - Delete :)"
"PR Request
from notable brand","Hi,

Colleen would LOVE to get some PR. Her address is:
22232 MacFarlane Dr, Woodland Hills, CA 91364

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers at/above $800",CC Cara
Comes back with a rate under $800,Move it to revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $700 per video)",CC Cara
IF deal was good and sent to Cara or Chenni,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
