Trigger / Scenario,Response / Action
SAM JONES,Manager: Cara
Asking for rates or a potential to collab,"Thank you so much for reaching out about a potential partnership with Sam!! I’m happy to share her rates below:
• 1 TikTok: $900
 • 1 IG Reel: $600
 • 1 UGC Video: $1,500 (usage can be added on for an additional cost)

Sam's pricing reflects her high-quality, conversion-focused content and consistent performance for brands. Last month on TikTok Shop her GMV was over $150k!

Please let us know what type of collab you're looking for in your offer + if you have any questions moving forward. We’d love to explore working together!"
Initially offered a rate below her minimum ($700),"Thank you for reaching out to Sam to collab!! However her rates are higher than your offer. I’m happy to share her rates below:
• 1 TikTok: $900
 • 1 IG Reel: $600
 • 1 UGC Video: $1,500 (usage can be added on for an additional cost)

Sam's pricing reflects her high-quality, conversion-focused content and consistent performance for brands. Last month on TikTok Shop her GMV was over $150k!

Please let us know what type of collab you're looking for in your offer + if you have any room to expand your budget. We’d love to explore working together!"
"Initally offered a rate that is OVER $900
for one post","Hi,

Thank you for the offer! I think this collab could be a good fit for Sam. Looping her in management team who can move forward with this convo!"
Asking for bundle rates,"Her standard rate is $900 per video! Below is her bundle pricing:

3 videos (90%) → $2,400
5 videos (85%) → $3,800
10 videos (75%) → $6,750

We’ve found bundles usually perform better since multiple posts make the product feel like a real part of her routine instead of a one-off. Let me know your thoughts!"
All of the above responses,Move to A Initial Response
Commission Only offer,"If product is GOOD - move to Commission Only

If tragic or spammy - Delete :)"
UGC offer / rate request,"Sam's UGC rate is around $1,500 per video! HERE is her media kit for review. 

If you have this budget I can loop in her team to go through the rest of the details :)"
"PR Request
from notable brand","Hi,

Sam would LOVE to get some PR. Her address is:
3190 Nicol Point Way NE, Tuscaloosa, AL 35406

Let me know when it's sent & the tracking number is avaialble so I can pass her way"
"convos marked A Inital Response:
if the brand offers at/above $700",CC Cara
Initially offered a rate below $700,Move it to Revisit
"convos marked A Inital Response:
BUNDLE CONVO
if the brand agrees to pricing (at least $500 per video)",CC Cara
IF deal was good and sent to Cara,Move to Ongoing TBC
"convos marked A Inital Response:
if the brand cannot budge on budget",Move to revisit
"Anything related to:
Panel / TikTok Invites
Brand or event invites
Special legit inquires",Ask for consult in the talent chat!!
"Tagged emails in inbox 
(as collab is ongoing or replies come in)","When you see an email marked with a previous tag
1. make sure it has Cara or Chenni still CC'd    (brands sometimes don't reply all)
2. move to whatever folder it was already labeled as"
